"","ID","p.adjust","qvalue","count"
"GO:0044057","GO:0044057",0.000877832593205543,3.14613970611662,20
"GO:0050684","GO:0050684",0.000972068628959868,3.10185448031574,13
"GO:0030516","GO:0030516",0.00104822626541784,3.06909637029866,9
"GO:0010976","GO:0010976",0.00107191272786406,3.05939198016932,8
"GO:0042551","GO:0042551",0.00107191272786406,3.05939198016932,5
"GO:1990089","GO:1990089",0.00107191272786406,3.05939198016932,5
"GO:1990090","GO:1990090",0.00107191272786406,3.05939198016932,5
"GO:0048024","GO:0048024",0.00109571196111813,3.04985500536068,12
"GO:0051592","GO:0051592",0.00114334961805308,3.03137235690341,6
"GO:0045927","GO:0045927",0.00121396114687325,3.00534662066415,7
"GO:0008037","GO:0008037",0.00125239205584422,2.99181110378058,12
"GO:0051480","GO:0051480",0.00132375116325762,2.96774505316782,8
"GO:0019725","GO:0019725",0.00139004978076517,2.94652105434244,32
"GO:0051260","GO:0051260",0.00145215476996629,2.92753850219285,14
"GO:0099560","GO:0099560",0.00169691701142383,2.8598908044756,5
"GO:0006906","GO:0006906",0.00182628400753153,2.82798309183768,14
"GO:0030705","GO:0030705",0.00201182852089119,2.7859604472476,15
"GO:0035418","GO:0035418",0.0020353594737192,2.78091028494432,7
"GO:0046777","GO:0046777",0.00217513235035811,2.75206572029655,6
"GO:0060996","GO:0060996",0.00217513235035811,2.75206572029655,6
"GO:2001257","GO:2001257",0.00217513235035811,2.75206572029655,6
"GO:0090174","GO:0090174",0.00223930372974834,2.73943840447062,14
"GO:0008016","GO:0008016",0.00248872346060939,2.69357476611751,13
"GO:0031114","GO:0031114",0.00253881022046977,2.68492116994194,5
"GO:0061462","GO:0061462",0.00254849338855993,2.68326789666767,7
"GO:0006898","GO:0006898",0.00275126626261963,2.65001878525803,14
"GO:0008345","GO:0008345",0.00288548729891976,2.62933224091328,6
"GO:0060079","GO:0060079",0.00288548729891976,2.62933224091328,6
"GO:0045597","GO:0045597",0.00328771774742185,2.57265688190186,21
"GO:0050773","GO:0050773",0.00383472207246294,2.50581751467623,6
"GO:0045664","GO:0045664",0.00426626538628742,2.45950354035081,10
"GO:0050919","GO:0050919",0.00428485289261674,2.45761549158762,8
"GO:1902414","GO:1902414",0.00428485289261674,2.45761549158762,8
"GO:0032984","GO:0032984",0.0045704377758496,2.42959360730003,17
"GO:0006873","GO:0006873",0.00489980288226941,2.39937279909186,24
"GO:0030003","GO:0030003",0.00489980288226941,2.39937279909186,24
"GO:1901890","GO:1901890",0.00490238621632654,2.39914388537868,6
"GO:0006874","GO:0006874",0.00500292532628727,2.39032738727544,16
"GO:0007413","GO:0007413",0.0050863739709608,2.38314311980818,5
"GO:0106030","GO:0106030",0.0050863739709608,2.38314311980818,5
"GO:0055074","GO:0055074",0.00524999410285583,2.36939259234586,17
"GO:0055080","GO:0055080",0.00528154430828643,2.36679048036991,27
"GO:0061025","GO:0061025",0.00531136542969332,2.36434522538223,14
"GO:0031110","GO:0031110",0.00588825826910613,2.3195645572755,8
"GO:0050801","GO:0050801",0.00612303149503178,2.30258491460188,28
"GO:0030537","GO:0030537",0.00612303149503178,2.30258491460188,6
"GO:0072657","GO:0072657",0.00644703659671126,2.2801912724255,25
"GO:1901379","GO:1901379",0.00686727421622438,2.25276701842717,5
"GO:0021782","GO:0021782",0.00692520982759918,2.24911847125736,14
"GO:0033043","GO:0033043",0.00719762907376989,2.23236194617979,41
"GO:0016311","GO:0016311",0.00742113371474011,2.21908115110206,21
"GO:0090066","GO:0090066",0.00783683788025137,2.19541054526181,24
"GO:0001558","GO:0001558",0.00783683788025137,2.19541054526181,11
"GO:0070142","GO:0070142",0.00783683788025137,2.19541054526181,4
"GO:0070593","GO:0070593",0.00783683788025137,2.19541054526181,4
"GO:0071322","GO:0071322",0.00783683788025137,2.19541054526181,4
"GO:0071326","GO:0071326",0.00783683788025137,2.19541054526181,4
"GO:0071331","GO:0071331",0.00783683788025137,2.19541054526181,4
"GO:0071333","GO:0071333",0.00783683788025137,2.19541054526181,4
"GO:0048638","GO:0048638",0.00838684504206249,2.16595278899081,12
"GO:0010970","GO:0010970",0.00925958564013726,2.12295985517551,12
"GO:0002027","GO:0002027",0.00925958564013726,2.12295985517551,6
"GO:0051493","GO:0051493",0.00930445890329462,2.12086028592649,27
"GO:0043484","GO:0043484",0.00942977294693135,2.11505017214079,14
"GO:0022411","GO:0022411",0.00970841853326563,2.10240291727539,18
"GO:1990778","GO:1990778",0.0102233791267081,2.07995694132986,14
"GO:0019933","GO:0019933",0.0113091072520814,2.03612308511986,6
"GO:0008333","GO:0008333",0.0113091072520814,2.03612308511986,7
"GO:0031103","GO:0031103",0.0113091072520814,2.03612308511986,7
"GO:0061383","GO:0061383",0.0113091072520814,2.03612308511986,4
"GO:0061384","GO:0061384",0.0113091072520814,2.03612308511986,4
"GO:1901879","GO:1901879",0.011432031986589,2.03142797699192,9
"GO:0098771","GO:0098771",0.0128068953241668,1.98210754804638,24
"GO:0072659","GO:0072659",0.0131161588155898,1.9717447412866,13
"GO:1903522","GO:1903522",0.0131161588155898,1.9717447412866,13
"GO:0048678","GO:0048678",0.0131287984819199,1.97132642566867,7
"GO:0072384","GO:0072384",0.0131287984819199,1.97132642566867,7
"GO:0044091","GO:0044091",0.0133441764000809,1.96425963354206,6
"GO:0071709","GO:0071709",0.0133441764000809,1.96425963354206,6
"GO:0048284","GO:0048284",0.0148318748135808,1.91835535671104,14
"GO:0016050","GO:0016050",0.0155646164599712,1.89741298456706,20
"GO:0044331","GO:0044331",0.0160955015418442,1.88284689391264,6
"GO:0007169","GO:0007169",0.0168697194422866,1.86244354795916,30
